Date Read,My Review,Title,Bookshelves,Author,Publisher,My Rating,Average Rating,Binding,Year Published,Date Added,ISBN,ISBN13,ASIN
,,Fade In: A Thriller,read audible audiobook literature-and-fiction action-and-adventure,Kyle Mills,Simon & Schuster Audio,,4.3,Audible Audio,2025,2025-09-04,,,B0DLCZKDFV
,,"Dead Line: Arliss Cutter, Book 7",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Marc Cameron,Recorded Books,,4.8,Audible Audio,2025,2025-09-04,,,B0F2WSPNNK
,,Edge of Honor: A Thriller,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Brad Thor,Simon & Schuster Audio,,4.6,Audible Audio,2025,2025-09-04,,,B0DJRNXP2C
,,"Sons of Valor IV: False Flag: The Sons of Valor Series, Book 4",read audible audiobook literature-and-fiction action-and-adventure,Brian Andrews,Blackstone Publishing,,4.8,Audible Audio,2025,2025-09-04,,,B0DNBTQ2D1
,,Deep Undercover: My Secret Life and Tangled Allegiances as a KGB Spy in America,read audible audiobook history americas,Jack Barsky,"Blackstone Audio, Inc.",,4.5,Audible Audio,2017,2025-09-04,,,B06XJQ1CK6
,,An Inside Job: A Novel,read audible audiobook literature-and-fiction action-and-adventure,Daniel Silva,HarperAudio,,4.6,Audible Audio,2025,2025-09-04,,,B0DMTHW2KC
,,Inside Threat: A Novel,read audible audiobook literature-and-fiction action-and-adventure,Matthew Quirk,HarperAudio,,4.4,Audible Audio,2023,2025-09-04,,,B0BHKWWXNY
,,Red Warning: A Novel,read audible audiobook literature-and-fiction action-and-adventure,Matthew Quirk,HarperAudio,,4.3,Audible Audio,2022,2025-09-04,,,B09JRBD16N
,,"Blue Monday: Frieda Klein, Book 1",currently-reading audible audiobook literature-and-fiction genre-fiction,Nicci French,Penguin Audio,,4.1,Audible Audio,2012,2025-09-04,,,B007EVCMYK
,,"Vultures: John Milton, Book 24",read audible audiobook literature-and-fiction action-and-adventure,Mark Dawson,Tantor Media,,4.4,Audible Audio,2025,2025-09-04,,,B0F8DB1J25
,,Stuart Woods' Finders Keepers,read audible audiobook literature-and-fiction action-and-adventure,Brett Battles,Penguin Audio,,4.3,Audible Audio,2025,2025-09-04,,,B0DJH6XGR9
,,The System: A Novel of the Deep State,read audible audiobook literature-and-fiction genre-fiction,Barry Eisler,"Chihuahua Cool, Inc.",,4.5,Audible Audio,2025,2025-09-04,,,B0FC8531R6
,,Flybot,read audible audiobook science-fiction-and-fantasy science-fiction,Dennis E. Taylor,Audible Originals,,4.6,Audible Audio,2025,2025-09-04,,,B0F7585H1K
,,What Comes Next,currently-reading audible audiobook mystery-thriller-and-suspense thriller-and-suspense,John Katzenbach,"HighBridge, a division of Recorded Books",,3.8,Audible Audio,2012,2025-09-04,,,B0085E8H8U
,,"Hard Lights: A Jon Reznick Thriller, Book 14",to-read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,J. B. Turner,Brilliance Audio,,4.5,Audible Audio,2025,2025-09-04,,,B0DWBJZJZ9
,,"Bee Speaker: Dogs of War, Book 3",read audible audiobook science-fiction-and-fantasy science-fiction,Adrian Tchaikovsky,Head of Zeus -- an AdAstra Book,,4.6,Audible Audio,2025,2025-09-04,,,B0F4KXLK5R
,,Badlands,read audible audiobook literature-and-fiction horror,Douglas Preston,Grand Central Publishing,,4.5,Audible Audio,2025,2025-09-04,,,B0DKG8HJSW
,,Shroud,read audible audiobook science-fiction-and-fantasy science-fiction,Adrian Tchaikovsky,Orbit,,4.6,Audible Audio,2025,2025-09-04,,,B0DKGCTXSP
,,Fifty Fifty: Eddie Flynn Series,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Steve Cavanagh,Simon & Schuster Audio,,4.7,Audible Audio,2025,2025-09-04,,,B0DJRMY55B
,,Impact,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Douglas Preston,Macmillan Audio,,4.1,Audible Audio,2010,2025-09-04,,,B00310OR0K
,,Blasphemy,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Douglas Preston,Macmillan Audio,,3.8,Audible Audio,2008,2025-09-04,,,B002UZLGTM
,,New Kid in Town: A Jack Reacher Story,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Andrew Child,Blackstone Publishing,,4.1,Audible Audio,2024,2025-09-04,,,B0D2DTSP4D
,,You Shook Me All Night Long: A Jack Reacher Story: Jack Reacher,read audible audiobook mystery-thriller-and-suspense mystery,Andrew Child,Blackstone Publishing,,4,Audible Audio,2025,2025-09-04,,,B0F494KVL5
,,Eleven Numbers: A Short Story,read audible audiobook mystery-thriller-and-suspense mystery,Lee Child,Amazon Original Stories,,4.3,Audible Audio,2025,2025-09-04,,,B0DQXHPGY4
,,Burned Bridges,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,John Gilstrap,Recorded Books,,4.8,Audible Audio,2025,2025-09-04,,,B0DZJ8P56N
,,"A Hired Kill: Garrett Mann, Book 2",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Steven Konkoly,Brilliance Audio,,4.4,Audible Audio,2025,2025-09-04,,,B0DG6SG9SS
,,Never Flinch: A Novel,to-read audible audiobook literature-and-fiction horror,Stephen King,Simon & Schuster Audio,,4.1,Audible Audio,2025,2025-09-04,,,B0DNGJBZJ5
,,"Tom Clancy: Line of Demarcation: A Jack Ryan Jr. Novel, Book 13",read audible audiobook literature-and-fiction genre-fiction,M.P. Woodward,Random House Audio,,4.7,Audible Audio,2025,2025-09-04,,,B0DGB73Z4J
,,Nightshade,read audible audiobook mystery-thriller-and-suspense mystery,Michael Connelly,"Little, Brown & Company",,4.4,Audible Audio,2025,2025-09-04,,,B0DNV1L72N
,,"A Clean Kill: Garrett Mann, Book 1",read audible audiobook mystery-thriller-and-suspense mystery,Steven Konkoly,Brilliance Audio,,4.2,Audible Audio,2024,2025-09-04,,,B0CN3PKQHS
,,Fever Beach: A Novel,read audible audiobook mystery-thriller-and-suspense mystery,Carl Hiaasen,Random House Audio,,4.4,Audible Audio,2025,2025-09-04,,,B0DCLQTZSG
,,The Last Monument,read audible audiobook mystery-thriller-and-suspense crime-fiction,Michael C. Grumley,Recorded Books,,4.4,Audible Audio,2025,2025-09-04,,,B0DZLBNDJQ
,,Rip-Off!,read audible audiobook science-fiction-and-fantasy science-fiction,John Scalzi,Audible Originals,,3.7,Audible Audio,2012,2025-09-04,,,B00AFZO9PM
,,"The B-Team: The Human Division, Episode 1",read audible audiobook science-fiction-and-fantasy science-fiction,John Scalzi,Audible Studios,,4.3,Audible Audio,2013,2025-09-04,,,B00AJUJGNS
,,Miniatures: The Very Short Fiction of John Scalzi,read audible audiobook science-fiction-and-fantasy fantasy,John Scalzi,Audible Studios,,4.3,Audible Audio,2017,2025-09-04,,,B01N5HVD9H
,,The President's Brain Is Missing: A Tor.Com Original,read audible audiobook science-fiction-and-fantasy science-fiction,John Scalzi,Macmillan Audio,,4.1,Audible Audio,2019,2025-09-04,,,125062438X
,,Slow Time Between the Stars: The Far Reaches Collection,read audible audiobook literature-and-fiction anthologies-and-short-stories,John Scalzi,Amazon Original Stories,,4.3,Audible Audio,2023,2025-09-04,,,B0C7HK3G2V
,,Singularity Sky,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Charles Stross,Recorded Books,,4.1,Audible Audio,2009,2025-09-04,,,B002V5BFEM
,,The Ghost in the Mirror,to-read audible audiobook audible-plus childrens-audiobooks literature-and-fiction,John Bellairs,Recorded Books,,4.7,Audible Audio,2017,2025-09-04,,,B0779HGXXS
,,The Man Who Fell to Earth,read audible audiobook audible-plus literature-and-fiction genre-fiction,Walter Tevis,Recorded Books,,4.3,Audible Audio,2007,2025-09-04,,,B002VAELLQ
,,Blood Music,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Greg Bear,Recorded Books,,4.2,Audible Audio,2008,2025-09-04,,,B002V0A8WM
,,Darwin's Radio,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Greg Bear,Recorded Books,,3.8,Audible Audio,2007,2025-09-04,,,B002V1NZYY
,,The Damascus Cover,to-read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,Howard Kaplan,Recorded Books,,4.1,Audible Audio,2018,2025-09-04,,,B07FYHF5WV
,,The Metamorphosis and Other Stories,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Franz Kafka,"Recorded Books ",,4.3,Audible Audio,2011,2025-09-04,,,B006MJ3082
,,The Paladin,currently-reading audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,David Ignatius,Recorded Books,,4.1,Audible Audio,2020,2025-09-04,,,1980080658
,,"Hidden Empire: The Saga of Seven Suns, Book 1",to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Kevin J. Anderson,Recorded Books,,4,Audible Audio,2004,2025-09-04,,,B002V5B1X2
,,Hit List,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Lawrence Block,Recorded Books,,4.3,Audible Audio,2016,2025-09-04,,,B01G9D5Y8Y
,,Tony Hillerman: A Life,read audible audiobook audible-plus biographies-and-memoirs art-and-literature,James McGrath Morris,Recorded Books,,4.7,Audible Audio,2021,2025-09-04,,,B09GBL5PMT
,,"Hell and Back: Longmire Mysteries, Book 18",read audible audiobook audible-plus literature-and-fiction genre-fiction,Craig Johnson,Recorded Books,,4.5,Audible Audio,2022,2025-09-04,,,B0B1QQNPXC
,,"Next to Last Stand: Walt Longmire Mysteries, Book 16",read audible audiobook audible-plus literature-and-fiction genre-fiction,Craig Johnson,Recorded Books,,4.7,Audible Audio,2020,2025-09-04,,,150199879X
,,The Lathe of Heaven,read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Ursula K. Le Guin,Recorded Books,,4.4,Audible Audio,2016,2025-09-04,,,B01M1N5CQ2
,,Tularosa,to-read audible audiobook audible-plus literature-and-fiction genre-fiction,Michael McGarrity,Recorded Books,,4.5,Audible Audio,2012,2025-09-04,,,B00991MJOQ
,,The Director,to-read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,David Ignatius,Recorded Books,,4,Audible Audio,2014,2025-09-04,,,B00KPNAQU6
,,The Hunchback of Notre Dame,read audible audiobook audible-plus literature-and-fiction classics,Victor Hugo,Recorded Books,,4.4,Audible Audio,1999,2025-09-04,,,B002V5GSW6
,,The Jungle,to-read audible audiobook audible-plus literature-and-fiction classics,Upton Sinclair,Recorded Books,,4.3,Audible Audio,2011,2025-09-04,,,B005CD139W
,,The Death of Ivan Ilyich,to-read audible audiobook audible-plus literature-and-fiction classics,Leo Tolstoy,Recorded Books,,4.5,Audible Audio,2008,2025-09-04,,,B002V8KQ4Y
,,Snow Falling on Cedars,read audible audiobook audible-plus literature-and-fiction genre-fiction,David Guterson,Recorded Books,,4.5,Audible Audio,2017,2025-09-04,,,B075NRXW6T
,,Dance Hall of the Dead,read audible audiobook audible-plus literature-and-fiction genre-fiction,Tony Hillerman,Recorded Books,,4.7,Audible Audio,2015,2025-09-04,,,B0191W3S42
,,The Fallen Man,read audible audiobook audible-plus literature-and-fiction historical-fiction,Tony Hillerman,Recorded Books,,4.7,Audible Audio,2015,2025-09-04,,,B0191WF6QU
,,The Trial,read audible audiobook audible-plus literature-and-fiction classics,Franz Kafka,Recorded Books,,4.1,Audible Audio,2005,2025-09-04,,,B002V8KJO6
,,"On a Pale Horse: Incarnations of Immortality, Book One",to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Piers Anthony,Recorded Books,,4.4,Audible Audio,2007,2025-09-04,,,B0036M2BOW
,,The Left Hand of Darkness,read audible audiobook audible-plus literature-and-fiction classics,Ursula K. Le Guin,Recorded Books,,4.1,Audible Audio,2016,2025-09-04,,,B01NH0D987
,,The Kill Artist,read audible audiobook audible-plus literature-and-fiction genre-fiction,Daniel Silva,Recorded Books,,4.3,Audible Audio,2012,2025-09-04,,,B0089CAZ6K
,,Dances with Wolves,read audible audiobook audible-plus literature-and-fiction genre-fiction,Michael Blake,Recorded Books,,4.8,Audible Audio,2019,2025-09-04,,,1980029814
,,The Blessing Way,read audible audiobook audible-plus literature-and-fiction historical-fiction,Tony Hillerman,Recorded Books,,4.5,Audible Audio,2015,2025-09-04,,,B00XRUH8FK
,,Crime and Punishment (Recorded Books Edition),read audible audiobook audible-plus literature-and-fiction classics,Fyodor Dostoevsky,Recorded Books,,4.3,Audible Audio,2000,2025-09-04,,,B002V5GTWA
,,People of Darkness,read audible audiobook audible-plus literature-and-fiction historical-fiction,Tony Hillerman,Recorded Books,,4.7,Audible Audio,2015,2025-09-04,,,B0191XGILQ
,,"Land of Wolves: Longmire Mysteries, Book 15",read audible audiobook audible-plus literature-and-fiction genre-fiction,Craig Johnson,Recorded Books,,4.7,Audible Audio,2019,2025-09-04,,,1501998803
,,The Dark Wind,read audible audiobook audible-plus literature-and-fiction historical-fiction,Tony Hillerman,Recorded Books,,4.7,Audible Audio,2015,2025-09-04,,,B0191W51Z6
,,Robot Dreams,to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Isaac Asimov,Recorded Books,,4.6,Audible Audio,2014,2025-09-04,,,B00NYCMZQS
,,The Expert System's Brother,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Adrian Tchaikovsky,Tantor Media,,4.1,Audible Audio,2019,2025-09-04,,,197731919X
,,"Station Breaker: Station Breaker Series, Book 1",to-read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,Andrew Mayne,Tantor Audio,,4.2,Audible Audio,2017,2025-09-04,,,B071ZZZC8T
,,"The Monster in the Mist: Chronological Man, Book 1",read audible audiobook audible-plus romance science-fiction,Andrew Mayne,Tantor Audio,,3.9,Audible Audio,2020,2025-09-04,,,170523092X
,,The Starship and the Canoe,read audible audiobook audible-plus biographies-and-memoirs adventurers-explorers-and-survival,Kenneth Brower,Tantor Audio,,4.4,Audible Audio,2020,2025-09-04,,,1705210422
,,A Life Decoded: My Genome - My Life,read audible audiobook audible-plus biographies-and-memoirs professionals-and-academics,J. Craig Venter,Tantor Audio,,4.2,Audible Audio,2007,2025-09-04,,,B002VAET2W
,,I Sing the Body Electric!,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Ray Bradbury,Recorded Books,,4.3,Audible Audio,2018,2025-09-04,,,B079G7MRR5
,,Coercion,to-read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Tim Tigner,Tim Tigner,,4.4,Audible Audio,2016,2025-09-04,,,B01KB700G0
,,Pushing Brilliance,to-read audible audiobook audible-plus literature-and-fiction action-and-adventure,Tim Tigner,Tim Tigner,,4.3,Audible Audio,2016,2025-09-04,,,B01KVUJ9MI
,,Body of Lies: A Novel,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,David Ignatius,Tantor Audio,,3.8,Audible Audio,2007,2025-09-04,,,B002V5D4EQ
,,"Bound to Rise (Or, Up the Ladder)",to-read audible audiobook audible-plus literature-and-fiction classics,Horatio Alger,Audible Studios,,4.2,Audible Audio,2010,2025-09-04,,,B004HLZU3A
,,Long After Midnight,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Ray Bradbury,Recorded Books,,4.3,Audible Audio,2018,2025-09-04,,,1501966219
,,Quicker Than the Eye,to-read audible audiobook audible-plus literature-and-fiction historical-fiction,Ray Bradbury,Recorded Books,,4.5,Audible Audio,2019,2025-09-04,,,1501981730
,,The Golden Apples of the Sun: And Other Stories,to-read audible audiobook audible-plus literature-and-fiction genre-fiction,Ray Bradbury,Recorded Books,,4.5,Audible Audio,2018,2025-09-04,,,B0797XVP6C
,,A Princess of Mars,to-read audible audiobook audible-plus literature-and-fiction literary-history-and-criticism,Edgar Rice Burroughs,Audible Studios,,4.6,Audible Audio,2016,2025-09-04,,,B01BLLBY6U
,,"The Ranger: Quinn Colson, Book 1",read audible audiobook audible-plus mystery-thriller-and-suspense crime-fiction,Ace Atkins,Recorded Books,,4.3,Audible Audio,2022,2025-09-04,,,1705043542
,,Stochasti-City: A METAtropolis Story,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Tobias S. Buckell,Audible Studios,,4.5,Audible Audio,2014,2025-09-04,,,B00I3IGC6C
,,Tensegrity: A METAtropolis Story,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Tobias S. Buckell,Audible Studios,,4.3,Audible Audio,2014,2025-09-04,,,B00I3HUG7E
,,West,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Orson Scott Card,Audible Studios,,4.1,Audible Audio,2014,2025-09-04,,,B00K538ZUY
,,Black Mask 10: Death Stops Payment: And Other Crime Fiction from the Legendary Magazine,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Horace McCoy,"HighBridge, a division of Recorded Books",,4.2,Audible Audio,2012,2025-09-04,,,B0089Z70GU
,,Black Mask 11: Middleman for Murder: And Other Crime Fiction from the Legendary Magazine,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Richard Connell,"HighBridge, a division of Recorded Books",,4.2,Audible Audio,2012,2025-09-04,,,B008JH6VVS
,,METAtropolis: Green Space,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Jay Lake,Audible Studios,,4.3,Audible Audio,2013,2025-09-04,,,B00ECDXZ1M
,,The Art of War,to-read audible audiobook audible-plus history military,Sun Tzu,Tantor Audio,,4,Audible Audio,2004,2025-09-04,,,B002V0PNTU
,,At the Mountains of Madness,read audible audiobook audible-plus literature-and-fiction horror,H.P. Lovecraft,Audible Studios,,4.3,Audible Audio,2024,2025-09-04,,,B0DBRK2DHZ
,,Leap,read audible audiobook audible-plus literature-and-fiction action-and-adventure,Michael C. Grumley,Recorded Books,,4.7,Audible Audio,2019,2025-09-04,,,1980035652
,,"If This Isn't Nice, What Is?: Advice for the Young",read audible audiobook audible-plus business-and-careers career-success,Kurt Vonnegut,Audible Studios,,4.5,Audible Audio,2013,2025-09-04,,,B00CO7D5IQ
,,The Dosadi Experiment,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Frank Herbert,Tantor Audio,,4.1,Audible Audio,2010,2025-09-04,,,B0046VEIDO
,,Pretty Boy,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Orson Scott Card,Audible Studios,,4.1,Audible Audio,2007,2025-09-04,,,B002V01COU
,,Catalyst,read audible audiobook audible-plus literature-and-fiction action-and-adventure,Michael C. Grumley,Recorded Books,,4.7,Audible Audio,2019,2025-09-04,,,1980035660
,,The White Plague,to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Frank Herbert,Tantor Audio,,3.8,Audible Audio,2009,2025-09-04,,,B002V8MQCY
,,The Toymaker,to-read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,Chuck Barrett,Audible Studios,,4.2,Audible Audio,2013,2025-09-04,,,B00H7J7HVC
,,"The Gods of Mars: Barsoom Series, Book 2",to-read audible audiobook audible-plus literature-and-fiction action-and-adventure,Edgar Rice Burroughs,Tantor Audio,,4.5,Audible Audio,2012,2025-09-04,,,B008LWCFFW
,,"John Carter in 'A Princess of Mars': Barsoom Series, Book 1",to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Edgar Rice Burroughs,Tantor Audio,,4.4,Audible Audio,2012,2025-09-04,,,B0079M463Y
,,The Book of Five Rings,to-read audible audiobook audible-plus business-and-careers career-success,Miyamoto Musashi,Tantor Audio,,4.4,Audible Audio,2010,2025-09-04,,,B003TTWDFY
,,Breakthrough,read audible audiobook audible-plus literature-and-fiction action-and-adventure,Michael C. Grumley,Recorded Books,,4.6,Audible Audio,2019,2025-09-04,,,1980035679
,,Return of the Thin Man,to-read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Dashiell Hammett,"HighBridge, a division of Recorded Books",,4.2,Audible Audio,2012,2025-09-04,,,B009K8UBV6
,,Sandstorm: Publisher's Pack,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,T.W. Piperbrook,Podium Audio,,4.4,Audible Audio,2019,2025-09-04,,,177424246X
,,"Dune: House Atreides: House Trilogy, Book 1",to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Brian Herbert,Tantor Audio,,4.6,Audible Audio,2009,2025-09-04,,,B002V0Q8M6
,,The Storied Life of A. J. Fikry,to-read audible audiobook audible-plus literature-and-fiction genre-fiction,Gabrielle Zevin,"HighBridge, a division of Recorded Books",,4.4,Audible Audio,2014,2025-09-04,,,B00IGHD5EC
,,Breach of Power,to-read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,Chuck Barrett,Audible Studios,,4.5,Audible Audio,2013,2025-09-04,,,B00GUP8QS2
,,"House Harkonnen: House Trilogy, Book 2",to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Kevin J. Anderson,Tantor Audio,,4.6,Audible Audio,2009,2025-09-04,,,B0032YWKVS
,,"Dune: House Corrino: House Trilogy, Book 3",to-read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Brian Herbert,Tantor Audio,,4.7,Audible Audio,2010,2025-09-04,,,B003ABUSI0
,,The Essential Lovecraft,to-read audible audiobook audible-plus literature-and-fiction horror,H.P. Lovecraft,,,4.4,Audible Audio,2024,2025-09-04,,,B0DBRHS1BK
,,Book 'Em: Four Bibliomysteries by Edgar Award-Winning Authors,to-read audible audiobook audible-plus mystery-thriller-and-suspense crime-fiction,Megan Abbott,"HighBridge, a division of Recorded Books",,4,Audible Audio,2021,2025-09-04,,,1696602750
,,Bibliomysteries Volume 1,to-read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Jeffery Deaver,"HighBridge, a division of Recorded Books",,4.4,Audible Audio,2021,2025-09-04,,,169660267X
,,L.A. Requiem,read audible audiobook audible-plus literature-and-fiction action-and-adventure,Robert Crais,"Recorded Books ",,4.6,Audible Audio,2012,2025-09-04,,,B0070YY0ZA
,,Prisoner's Dilemma,to-read audible audiobook audible-plus literature-and-fiction genre-fiction,Richard Powers,Recorded Books,,4.2,Audible Audio,2019,2025-09-04,,,1980017239
,,The Stalin Epigram: A Novel,to-read audible audiobook audible-plus literature-and-fiction genre-fiction,Robert Littell,Tantor Audio,,3.7,Audible Audio,2009,2025-09-04,,,B002V8MNAO
,,Precious Cargo: A Story from Birds of Prey,read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,C.J. Box,Audible Originals,,4.4,Audible Audio,2022,2025-09-04,,,B09ZWHB4S3
,,Savage Run: A Joe Pickett Novel,read audible audiobook audible-plus mystery-thriller-and-suspense crime-fiction,C. J. Box,"Recorded Books ",,4.6,Audible Audio,2011,2025-09-04,,,B004TTK3L4
,,On Golden Seas,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,5,Audible Audio,2016,2025-09-04,,,B01JY4XACC
,,A Slight Case of Sunstroke,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,4.3,Audible Audio,2016,2025-09-04,,,B01JP8PQMO
,,An Ape About the House,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,5,Audible Audio,2016,2025-09-04,,,B01JTEXT0K
,,No Morning After,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,5,Audible Audio,2016,2025-09-04,,,B01JQR8VSA
,,"'If I Forget Thee, Oh Earth...'",currently-reading audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,4.3,Audible Audio,2016,2025-09-04,,,B01K5RHDUW
,,Before Eden,to-read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,4.7,Audible Audio,2016,2025-09-04,,,B01JQOFP96
,,Publicity Campaign,currently-reading audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Arthur C. Clarke,Audible Studios,,4.2,Audible Audio,2016,2025-09-04,,,B01JP9OYNU
